ID, APP, DR, X, Y
000,02,05,319506.8526,153621.9337
001,00,05,295505.9644,74312.2682
002,01,05,289784.0988,118896.1023
003,02,05,297677.4765,67704.3022
004,02,05,195974.8200,302420.7719
005,01,05,279997.7832,268226.2749
006,00,05,293753.8155,69812.2543
007,00,05,284077.2604,263672.9991
008,00,05,61243.7506,218141.7568
009,01,05,409627.1458,190995.9063
010,01,05,402829.3537,183854.5468
011,00,05,96331.5519,446492.9844
012,00,05,191755.5241,304432.4441
013,01,05,326548.1306,153399.5275
014,00,05,290023.3318,270799.3896
015,02,05,405843.3731,186560.2733
016,01,05,252153.3478,58763.9769
017,02,05,296356.3834,65949.9348
018,02,05,140947.3277,213227.7152
019,01,05,405514.3513,482922.7144
020,01,05,253197.8841,62861.1879
021,00,05,372998.5179,469985.1750
022,00,05,185515.5755,301520.0468
023,01,05,255104.2018,58002.9494
024,02,05,409643.1942,179336.7048
025,01,05,307812.8880,191266.8494
026,00,05,496204.5529,340150.4737
027,00,05,409000.4393,484073.6246
028,01,05,335486.5623,112981.3939
029,01,05,404140.6787,429437.0422
030,01,05,307287.0423,182397.9367
031,00,05,123183.4995,377538.7901
032,00,05,431203.0922,207353.2073
033,02,05,285148.4767,274456.6810
034,01,05,122764.2883,384572.2062
035,00,05,71427.8861,194303.6017
036,00,05,430258.8496,204205.0642
037,01,05,320009.2291,155565.8149
038,02,05,204022.3309,89607.2783
039,00,05,331313.6664,114695.7647
040,02,05,413569.6509,188422.4714
041,02,05,296560.0619,112825.6509
042,00,05,410368.3782,183442.2394
043,01,05,326767.6828,160868.7797
044,00,05,192892.5854,295421.7323
045,02,05,66276.1690,201924.2414
046,00,05,217793.9958,321559.8931
047,02,05,119402.6957,376827.1661
048,01,05,251628.9209,59434.9402
049,00,05,258325.6984,58151.9756
050,02,05,104130.0397,451618.1054
051,01,05,313782.3024,187673.7266
052,00,05,208024.6601,82578.3995
053,00,05,343756.6602,422096.6284
054,00,05,83900.0225,254361.1419
055,00,05,190807.7254,304626.6260
056,01,05,368705.4983,471618.9446
057,02,05,410544.3370,129502.9705
058,01,05,313565.1973,182771.2247
059,00,05,123710.7718,386503.6743
060,00,05,242084.7093,76466.4762
061,01,05,408459.9661,485781.4593
062,02,05,144177.9015,461433.7821
063,01,05,278482.3756,102709.7599
064,00,05,339132.2296,424852.5080
065,00,05,276746.7665,96308.2515
066,02,05,120195.2673,413167.5961
067,02,05,293166.1031,62782.6361
068,01,05,421610.4366,184062.8783
069,01,05,235645.9109,71262.3348
070,00,05,307665.4865,190114.6817
071,00,05,270357.8488,98769.0716
072,00,05,66598.8308,197665.5603
073,00,05,113609.2165,91114.0792
074,02,05,115688.0831,80456.8022
075,01,05,374472.3722,464426.7467
076,00,05,309748.0496,182309.0930
077,00,05,67043.1778,201540.8656
078,01,05,236929.7802,76306.1865
079,02,05,256279.2080,64365.8947
080,00,05,372265.4158,465082.5972
081,00,05,125624.2400,275123.2720
082,01,05,83871.2258,246151.9721
083,01,05,123662.2755,376536.8074
084,01,05,293580.4977,112396.8985
085,00,05,156029.8664,239437.5547
086,02,05,494773.1911,339069.5526
087,01,05,278989.7194,105384.4136
088,01,05,375100.7894,467220.4470
089,01,05,297393.0832,392799.2058
090,00,05,407077.6452,484931.2041
091,01,05,501750.2888,487999.4591
092,00,05,287164.6084,112829.8136
093,02,05,123310.2468,281852.9969
094,02,05,87830.4972,256117.5295
095,02,05,142795.5814,217595.3767
096,00,05,196209.7404,210198.8708
097,00,05,96799.8723,457083.5755
098,01,05,214329.5155,312530.6548
099,01,05,146076.8560,218701.3636
100,00,05,305933.5094,185307.3114
101,01,05,203644.5457,81450.7972
102,02,05,221382.7200,316704.8568
103,02,05,200862.3535,215559.1863
104,00,05,144054.3316,215054.2492
105,00,05,279323.2311,95058.8516
106,00,05,291661.8814,63739.0306
107,02,05,302854.5261,390244.1720
108,02,05,499771.8583,96469.8444
109,02,05,500116.9636,95166.6175
110,02,05,339641.5341,415775.6138
111,00,05,407459.5504,481909.7028
112,01,05,83376.1059,251130.6456
113,01,05,211766.0918,258957.2526
114,01,05,495682.3023,343150.2232
115,00,05,144677.3768,460274.0005
116,01,05,296529.8210,115887.2263
117,02,05,294966.4694,73160.6391
118,00,05,288621.0401,67460.9734
119,02,05,117291.4028,419784.0408
120,01,05,195786.4247,305886.2950
121,02,05,201127.4304,255990.7141
122,01,05,338059.2232,416831.2692
123,01,05,145445.0577,466454.8287
124,02,05,337498.4264,119526.9593
125,01,05,157428.3267,241423.0252
126,02,05,135609.9046,219148.9446
127,02,05,415852.1476,180118.0095
128,02,05,101055.3299,229216.5599
129,00,05,402557.0020,435657.8383
130,02,05,297733.9158,64872.4342
131,00,05,116693.0051,85838.9311
132,02,05,144228.0552,459148.1830
133,00,05,368447.6720,471292.6666
134,02,05,437382.0669,202325.8243
135,02,05,410754.3695,487318.4305
136,00,05,203013.9149,88046.2374
137,01,05,336000.3880,115396.3670
138,01,05,373244.2494,463767.4908
139,02,05,343278.7389,421311.9067
140,00,05,290605.3411,118442.8115
141,00,05,411073.6573,182340.1143
142,02,05,403852.6322,430100.4140
143,02,05,209637.7840,317899.7298
144,01,05,145037.3809,460021.7332
145,00,05,81337.6390,248095.2868
146,00,05,342899.3032,418341.8469
147,01,05,255427.6214,55068.0067
148,00,05,329016.6324,157603.8509
149,00,05,211076.1202,323112.2150
150,01,05,60332.6608,219391.0803
151,02,05,296542.4992,71948.0312
152,01,05,434328.3877,207127.7029
153,02,05,293087.0056,215188.8525
154,01,05,100389.8752,449096.2856
155,02,05,290077.3431,108240.4446
156,02,05,209198.2303,257668.3201
157,01,05,404941.5172,426233.0187
158,02,05,59816.9314,214355.2708
159,02,05,410272.7562,428620.2123
160,00,05,370601.4711,199505.7868
161,00,05,405696.0917,428407.5988
162,02,05,293740.0081,393936.4625
163,01,05,60472.0060,218616.2905
164,02,05,103701.2371,446653.8324
165,02,05,409330.9101,141797.9952
166,01,05,200388.5409,214087.5679
167,00,05,375372.8286,206755.9277
168,01,05,294459.2143,394714.8969
169,01,05,344303.0284,422693.6169
170,02,05,317176.7989,156285.9563
171,01,05,96686.0396,231167.8686
172,00,05,251027.2697,60840.3660
173,02,05,368054.4049,202426.3725
174,00,05,404321.2937,482499.1389
175,02,05,409820.4864,139405.4647
176,01,05,140874.5581,462821.6536
177,00,05,99727.7961,227863.4828
178,00,05,496690.4786,338114.2623
179,01,05,98388.8937,236963.5218
180,02,05,249960.5606,55648.9762
181,00,05,195956.4308,204458.1249
182,02,05,285650.7943,272045.0636
183,01,05,272371.0359,105802.3549
184,01,05,191065.6358,295823.4229
185,02,05,299072.0912,211134.0721
186,00,05,412689.2982,139736.3035
187,00,05,101835.9959,450932.6919
188,01,05,185569.7857,301480.4718
189,01,05,407472.5587,429902.8449
190,01,05,337602.1160,118015.1804
191,00,05,420502.9184,182222.9470
192,01,05,293855.6561,64313.0425
193,01,05,297610.1835,386189.8549
194,02,05,505379.5466,89745.2500
195,02,05,274150.4823,99467.7852
196,02,05,118120.6336,376382.9537
197,00,05,140250.1949,220751.4122
198,00,05,408854.6907,130793.1213
199,00,05,82822.3414,248763.5310
200,01,05,201821.3292,254933.5042
201,02,05,199483.6299,206007.4258
202,02,05,434677.9087,204183.9598
203,01,05,272508.6017,100080.9603
204,02,05,322992.4229,162363.3181
205,00,05,431583.7924,202624.0881
206,01,05,205253.9344,89083.9782
207,00,05,324296.1676,152819.9279
208,01,05,415029.0449,181268.9176
209,00,05,409107.0099,191961.6785
210,01,05,284347.5789,273290.7602
211,00,05,407748.3942,191945.1753
212,02,05,205212.6527,261469.4782
213,01,05,191939.8543,296339.6097
