ID, X, Y
000,450492.1792,552241.4045
001,602893.7502,133926.0440
002,592446.0282,314891.9135
003,553288.4852,376702.9977
004,420283.3085,403783.4657
005,386550.5511,91679.7521
006,563981.8899,277287.0417
007,279492.9066,495491.7768
008,525051.7940,216816.8906
009,144864.4060,115096.0791
010,207590.0879,125459.9867
011,437307.1705,237360.0784
012,259838.8119,374746.3028
013,109047.0296,500758.8296
014,276315.2543,338785.1613
015,259819.8450,629634.9017
016,71108.2078,271784.2196
017,571193.1574,254427.9155
018,579340.1017,413479.2466
019,513334.6605,450237.1776
020,96634.2082,388765.5069
021,560032.9692,381285.5621
022,586299.3026,533794.5964
023,317136.3402,489317.4804
024,315930.6097,566562.6851
025,468190.4733,161582.4146
026,499558.4709,263054.2370
027,247162.7939,570563.9539
028,433511.1497,297045.4219
029,285045.3105,601850.4689
030,480249.4173,489762.4054
031,592026.4407,145223.6145
032,619415.1629,589380.9219
033,399374.9864,127011.9494
034,450575.4387,119887.8574
035,206561.4233,195791.9655
036,434177.9754,581887.9632
037,328780.5387,430522.5744
038,588911.2980,590679.4272
039,478612.0235,353405.6478
040,208223.0265,119308.1242
041,322481.0601,431692.5065
042,82214.5137,79127.8954
043,432750.2332,224491.0651
044,622411.8597,343139.6383
045,477267.8014,310752.2756
046,457929.5990,470773.5655
047,427485.9710,419509.2467
048,399058.8246,592344.5554
049,615492.1019,494450.1796
